,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
0,A,119.42,35273780186,N/A
1,AAL,16.26,10616154000,N/A
2,AAP,65.67,3903677761,N/A
3,AAPL,186.68,2936234089360,N/A
4,ABBV,135.92,239802253306,N/A
5,ABC,187.67,37958023287,N/A
6,ABMD,381.02,17180642928,N/A
7,ABT,108.05,187893201632,N/A
8,ACN,298.43,198250550181,N/A
9,ADBE,484.72,222341064000,N/A
10,ADI,185.94,93233719446,N/A
11,ADM,72.9,39703878159,N/A
12,ADP,213.83,88338039557,N/A
13,ADSK,202.0,43172736638,N/A
14,AEE,80.83,21226723622,N/A
15,AEP,83.49,42902679103,N/A
16,AES,20.43,13674528678,N/A
17,AFL,67.14,40567800444,N/A
18,AIG,55.22,39965613713,N/A
19,AIV,7.97,1184471249,N/A
20,AIZ,123.81,6580749120,N/A
21,AJG,212.46,45518705160,N/A
22,AKAM,88.63,13489673452,N/A
23,ALB,220.18,25835137579,N/A
24,ALGN,328.83,25161068997,N/A
25,ALK,49.25,6299614632,N/A
26,ALL,107.53,28264466420,N/A
27,ALLE,115.5,10157840963,N/A
28,ALXN,182.5,40336009475,N/A
29,AMAT,136.07,114264430759,N/A
30,AMCR,9.87,14523150316,N/A
31,AMD,110.01,177155909319,N/A
32,AME,156.06,35967957215,N/A
33,AMGN,227.11,121350912763,N/A
34,AMP,317.02,33026758738,N/A
35,AMT,186.03,86698022821,N/A
36,AMZN,129.27,1326355921248,N/A
37,ANET,148.82,45878646147,N/A
38,ANSS,319.54,27691763945,N/A
39,ANTM,482.58,116342693132,N/A
40,AON,331.43,67693091036,N/A
41,AOS,69.49,10616371371,N/A
42,APA,32.58,10054159688,N/A
43,APD,286.26,63584849541,N/A
44,APH,80.19,47738634299,N/A
45,APTV,97.4,26347323165,N/A
46,ARE,109.08,18871930800,N/A
47,ATO,114.42,16532237553,N/A
48,ATVI,81.9,64234170000,N/A
49,AVB,181.37,25754370963,N/A
50,AVGO,822.15,339289305721,N/A
51,AVY,167.85,13550242805,N/A
52,AWK,145.76,28371252739,N/A
53,AXP,168.07,124921702351,N/A
54,AZO,2423.73,44005166744,N/A
55,BA,205.41,123573322273,N/A
56,BAC,27.75,221143990727,N/A
57,BAX,45.04,22783487693,N/A
58,BBY,79.13,17266999635,N/A
59,BDX,256.55,72864023878,N/A
60,BEN,25.53,12787042781,N/A
61,BF.B,65.04,31418208351,N/A
62,BIIB,284.52,41182080619,N/A
63,BIO,365.8,10844665557,N/A
64,BK,42.84,33806492506,N/A
65,BKNG,2623.93,96911317492,N/A
66,BKR,29.77,30138022277,N/A
67,BLK,680.45,101905998595,N/A
68,BLL,69.49,22222129619,N/A
69,BMY,65.04,136639097856,N/A
70,BR,158.01,18642105125,N/A
71,BRK.B,335.25,733256705358,N/A
72,BSX,53.97,77592566511,N/A
73,BWA,45.23,10600706756,N/A
74,BXP,51.5,8077027632,N/A
75,C,46.02,89589519539,N/A
76,CAG,34.09,16257752710,N/A
77,CAH,91.72,23351928693,N/A
78,CARR,48.05,40113970801,N/A
79,CAT,234.44,120819977883,N/A
80,CB,193.24,80035078254,N/A
81,CBOE,135.33,14287392213,N/A
82,CBRE,75.23,23383915584,N/A
83,CCI,109.44,47460986306,N/A
84,CCL,15.8,17633023207,N/A
85,CDNS,225.32,61441158880,N/A
86,CDW,177.4,23911157032,N/A
87,CE,109.46,11907913354,N/A
88,CERN,94.92,27915791082,N/A
89,CF,70.56,13753550472,N/A
90,CFG,25.47,12327181543,N/A
91,CHD,97.12,23722919680,N/A
92,CHRW,90.45,10531893259,N/A
93,CHTR,326.28,49129686044,N/A
94,CI,274.85,81320482690,N/A
95,CINF,95.71,15046828283,N/A
96,CL,77.11,63968003825,N/A
97,CLX,156.14,19302577037,N/A
98,CMA,40.6,5345796357,N/A
99,CMCSA,40.09,166749664991,N/A
100,CME,181.67,65349335940,N/A
101,CMG,2043.68,56384804211,N/A
102,CMI,232.02,32845165124,N/A
103,CMS,58.59,17088132364,N/A
104,CNC,66.33,36399864883,N/A
105,CNP,28.47,17965402548,N/A
106,COF,106.6,40700542519,N/A
107,COG,22.25,8892528027,N/A
108,COO,372.78,18455563909,N/A
109,COP,100.46,121562495897,N/A
110,COST,524.44,232379364000,N/A
111,COTY,12.22,10421177043,N/A
112,CPB,45.59,13590009493,N/A
113,CPRT,89.19,42582858973,N/A
114,CRM,210.09,204627660000,N/A
115,CSCO,50.33,205097676941,N/A
116,CSX,32.74,66562218146,N/A
117,CTAS,482.59,49080273592,N/A
118,CTL,11.0,12072940000,N/A
119,CTSH,62.04,31485300000,N/A
120,CTVA,57.23,40683261790,N/A
121,CTXS,103.9,13183359916,N/A
122,CVS,69.6,89228959697,N/A
123,CVX,151.35,286754291757,N/A
124,CXO,65.6,12877584384,N/A
125,D,51.82,43318484384,N/A
126,DAL,42.86,27546765543,N/A
127,DD,67.78,31112156806,N/A
128,DE,404.45,118581561427,N/A
129,DFS,115.42,29310451129,N/A
130,DG,171.15,37540236967,N/A
131,DGX,141.49,15848181284,N/A
132,DHI,120.4,41064969109,N/A
133,DHR,238.18,175752733564,N/A
134,DIS,88.1,160985569443,N/A
135,DISCA,24.44,12449494875,N/A
136,DISCK,24.42,,N/A
137,DISH,6.02,3194851306,N/A
138,DLR,104.15,30958791009,N/A
139,DLTR,143.67,31662766539,N/A
140,DOV,141.13,19737213687,N/A
141,DOW,51.36,36327688488,N/A
142,DPZ,316.82,11196111485,N/A
143,DRE,48.2,18556648911,N/A
144,DRI,161.3,19505921092,N/A
145,DTE,110.0,22672009140,N/A
146,DUK,89.72,69142872229,N/A
147,DVA,97.73,8864111000,N/A
148,DVN,47.15,30836100000,N/A
149,DXC,25.85,5447089459,N/A
150,DXCM,126.75,49132815215,N/A
151,EA,125.25,34347006399,N/A
152,EBAY,43.37,23191539353,N/A
153,ECL,178.15,50723039024,N/A
154,ED,90.74,31445057748,N/A
155,EFX,224.03,27475880209,N/A
156,EIX,67.76,25950929638,N/A
157,EL,191.94,68503386000,N/A
158,EMN,78.55,9359374047,N/A
159,EMR,86.68,49537620000,N/A
160,EOG,106.82,62474600032,N/A
161,EQIX,746.11,69780360048,N/A
162,EQR,62.36,23628495159,N/A
163,ES,69.73,24324741503,N/A
164,ESS,220.02,14121238712,N/A
165,ETFC,49.26,10891188960,N/A
166,ETN,194.46,77511756000,N/A
167,ETR,97.13,20537813212,N/A
168,EVRG,57.31,13163015073,N/A
169,EW,90.34,54765753543,N/A
170,EXC,39.87,39653465950,N/A
171,EXPD,114.45,17487065115,N/A
172,EXPE,104.79,14943158790,N/A
173,EXR,141.96,19171631421,N/A
174,F,14.02,55097453865,N/A
175,FANG,125.4,22709124649,N/A
176,FAST,56.89,32485579368,N/A
177,FB,196.64,561210585170,N/A
178,FBHS,57.62,,N/A
179,FCX,38.37,54995194564,N/A
180,FDX,232.34,58399109043,N/A
181,FE,38.49,22048491588,N/A
182,FFIV,144.45,8739225000,N/A
183,FIS,52.75,31251026325,N/A
184,FISV,114.23,,N/A
185,FITB,25.54,17385487304,N/A
186,FLIR,57.34,7565007314,N/A
187,FLS,35.71,4683336468,N/A
188,FLT,238.56,17613886752,N/A
189,FMC,105.73,13220393664,N/A
190,FOX,30.63,16005923177,N/A
191,FOXA,32.67,16005923159,N/A
192,FRC,3.51,630560307,N/A
193,FRT,90.1,7344537270,N/A
194,FTI,14.77,6521885436,N/A
195,FTNT,71.59,56212192593,N/A
196,FTV,71.03,24984247472,N/A
197,GD,212.39,58266138296,N/A
198,GE,103.78,113012271810,N/A
199,GILD,77.47,96632412817,N/A
200,GIS,81.32,47763302000,N/A
201,GL,106.28,10155568820,N/A
202,GLW,33.86,28785418561,N/A
203,GM,36.18,50294668194,N/A
204,GOOG,123.02,1449441420017,N/A
205,GOOGL,122.34,1449441420011,N/A
206,GPC,159.67,22436132239,N/A
207,GPN,98.84,25891448061,N/A
208,GPS,8.69,3198412332,N/A
209,GRMN,101.56,19427461758,N/A
210,GS,314.71,104624736201,N/A
211,GWW,737.9,37018202736,N/A
212,HAL,30.89,27868800461,N/A
213,HAS,60.0,8316526860,N/A
214,HBAN,10.21,14739308803,N/A
215,HBI,4.26,1488998933,N/A
216,HCA,295.4,81291066920,N/A
217,HD,300.81,302427193665,N/A
218,HES,131.61,40411099111,N/A
219,HFC,36.39,5931624949,N/A
220,HIG,70.47,21862241000,N/A
221,HII,216.96,8654680197,N/A
222,HLT,137.11,36282944214,N/A
223,HOLX,81.46,20048787920,N/A
224,HON,200.09,133195260707,N/A
225,HPE,16.52,21335879656,N/A
226,HPQ,29.61,29194160536,N/A
227,HRB,32.6,4964466159,N/A
228,HRL,40.47,22108761000,N/A
229,HSIC,78.9,10336152638,N/A
230,HST,16.24,11550550056,N/A
231,HSY,259.09,53134177200,N/A
232,HUM,445.95,55719220074,N/A
233,HWM,46.35,19156039380,N/A
234,IBM,129.43,117528317934,N/A
235,ICE,111.09,62195620586,N/A
236,IDXX,487.78,40436962000,N/A
237,IEX,203.04,15345025353,N/A
238,IFF,75.28,19203277430,N/A
239,ILMN,201.67,31884027000,N/A
240,INCY,62.45,13931864710,N/A
241,INFO,108.61,45801486922,N/A
242,INTC,33.0,137643000000,N/A
243,INTU,452.69,126780235552,N/A
